languages,forms,类同,补充,重复,延续,更加,减量,还原,条件,任意,极端,严重,无论,上限,顺承,不协,意外,底限,续话
中,还,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
中,又,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
中,也,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0
中,再,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
藏,ra,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
藏,taroŋ,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
英,also,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
英,too,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
英,again,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
英,still,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
德,auch,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
德,noch,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0
法,aussi,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
法,encore,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
俄,тбже,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
俄,опять,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日,も,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
日,また,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日,なお,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
韩,do,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
韩,deo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
韩,tto,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
韩,dasi,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
韩,ajik,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
越,cũng,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
越,nữa,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
越,còn,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
越,lại,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
